Alıcılar;25005419
Alınan Çekler;67503548
Alınan Sipariş Avansları;14841862
Arazi ve Arsalar;35904848
AT-TOPLAM DÖNEN VARLIKLAR;290400218
Banka Kredileri;72188843
Bankalar;11464484
Binalar;84920938
Birikmiş Amortismanlar (-);235999795
Borç Senetleri;82556975
BT- TOPLAM DURAN VARLIKLAR;136414751
BTT- TOPLAM AKTİFLER;426814970
CT- Kısa Vadeli Yabancı Kaynaklar Toplamı;235657013
Demirbaşlar;3324718
Devreden KDV;11429799
Diğer Çeşitli Alacaklar;
Diğer Çeşitli Borçlar;
Diğer Hazır Değerler;52000
Diğer Sermaye Yedekleri;32500000
Diğer Ticari Alacaklar;
Diğer Ticari Borçlar;2807870
Dönem Karı Peşin Ödenen Vergi ve Diğer Yük. (-);886200
Dönem Karı Vergi ve Diğer Yasal Yükümlülük Karşılığı;1232330
DT- Uzun Vadeli Yabancı Kaynaklar Toplamı;56824200
E5-Dönem Kar/Zarar;1450596
Ertelenmiş Finansal Kiralama Borçlanma Maliyetleri (-);80576
ETT- TOPLAM PASİFLER;426814970
ET-TOPLAM ÖZKAYNAKLAR;134333756
Faktoring Alacakları;3322
Finansal Kiralama İşlemlerinden Borçlar;568640
Geçmiş Yıllar Karları;632090
Gelecek Aylara Ait Giderler;324200
Gelecek Yıllara Ait Giderler;
Haklar;2593886
İlk Madde ve Malzeme;20831450
İş Avansları;
Kasa;238017
Leasing Amortismanları;
Leasingler;550274
M.D.V. Yeniden Değerleme Artışları;24610961
Maddi Olmayan Duran Varlıklar-Diğer;
Mamuller;
Ortaklara Borçlar;1697657
Ödenecek Diğer Yükümlülükler;45481
Ödenecek Sosyal Güvenlik Kesintileri;1508829
Ödenecek Vergi ve Fonlar;306341
Özel Maliyetler;1016952
Personel Avansları;327390
Personele Borçlar;2019903
Peşin Ödenen Vergi ve Fonlar;
Satıcılar;58546711
Sermaye;75000000
Şüpheli Ticari Alacak Karşılığı (-);1321351
Şüpheli Ticari Alacaklar;1321351
Taşıtlar;802232
Tesis, Makina ve Cihazlar;243724539
Ticari Mallar;8253920
Uzun Vadeli Kredilerin Ana Para,Taksitleri ve Faizleri;
Vadesi Geçmiş Ertelenmiş veya Taks. Vergi ve Diğer Yük.;
Verilen Çek ve Ödeme Emirleri (-);
Verilen Depozito ve Teminatlar;39400
Verilen Sipariş Avansları;1173387
Yarı Mamuller;143757199
Yasal Yedekler;140106
Yeraltı ve Yerüstü Düzenleri;673382
" Genel Üretim Giderleri Hesabı";0
" Hizmet Üretim Maliyeti";0
Bağlı Ortaklıklardan Temettü Geliri;0
C-Net Satışlar;408117777
Çalışmayan Kısım Gider ve Zararları (-);0
Diğer Gelirler;2956710
Diğer İndirimler (-);5557955
Diğer Olağandışı Gelir ve Karlar;1508926
Diğer Olağandışı Gider ve Zararlar (-);1564435
Diğer Satışların Maliyeti (-);0
Direkt İlk Madde ve Malzeme;0
Direkt İlk Madde ve Malzeme Yansıtma;0
Direkt İşçilik Giderleri;0
Direkt İşçilik Giderleri Yansıtma;0
E-Brüt Kar/Zararı;53062868
Faaliyetle İlgili Diğer Olağan Gelirler ve Karlar;0
Faaliyetle İlgili Diğer Olağan Gider ve Zararlar (-);0
Faiz Geliri;49
F-Genel Yönetim Giderleri (-);12538045
Genel Üretim Giderleri Hesabı Yansıtma;0
G-Pazarlama Giderleri (-);944045
H-Araştırma ve Geliştirme Giderleri (-);0
Hizmet Üretim Maliyeti Yansıtma;0
İştiraklerden Temettü Gelirleri;0
J-Esas Faaliyet Karı/Zararı;39580778
Kambiyo Karları;10066910
Kambiyo Zararları (-);12430751
Karşılık Giderleri (-);0
Komisyon Gelirleri;0
Komisyon Giderleri (-);0
Konusu Kalmayan Karşılıklar;273375
Menkul Kıymetler Satış Karları;0
M-FİNANSMAN GİDERİ ÖNCESİ FAALİYET KARI ZARARI;37490362
N-Finansman Giderleri;34751925
O-OLAĞAN KAR VEYA  ZARAR;2738436
Önceki Dönem Gelir ve Karları;0
Önceki Dönem Gider ve Zararları (-);0
Reeskont Faiz Gelirleri;0
Reeskont Faiz Giderleri (-);0
Satılan Hizmet Maliyeti (-);0
Satılan Mamuller Maliyeti (-);349630323
Satılan Ticari Mallar Maliyeti (-);5424585
Satış Iskontoları (-);0
Satış İadeleri (-);30475238
Yatırım Faaliyetlerinden Giderler;0
Yurtdışı Satışlar;0
Yurtiçi Satışlar;441194261
Z1-DÖNEM KARI VERGİ VE DİĞ.YASAL YÜKÜMLÜLÜK KARŞILIĞI;1232330
Z-DÖNEM KARI/ZARARI;2682927
ZT-DÖNEM NET KARI/ZARARI;1450596
