Alacak Senetleri;;
Alıcılar;151156362;218429480
Alınan Depozito ve Teminatlar;307280;
Alınan Sipariş Avansları;2927548;
Arazi ve Arsalar;;24088189
AT-TOPLAM DÖNEN VARLIKLAR;1095427172;1314500490
Bağlı Ortaklıklardan Alacaklar;59326583;
Banka Kredileri;;22362653
Bankalar;3127736;13889691
Binalar;;80793815
Birikmiş Amortismanlar (-);;47058308
BT- TOPLAM DURAN VARLIKLAR;59531810;389134093
BTT- TOPLAM AKTİFLER;1154958982;1703634584
CT- Kısa Vadeli Yabancı Kaynaklar Toplamı;1068022456;1373977376
Demirbaşlar;3883926;5371908
Devreden KDV;12392442;134804
Diğer Çeşitli Alacaklar;98796811;3525722
Diğer Çeşitli Borçlar;490000;
Diğer KDV;;7942446
Diğer Mali Borçlar;153375;
Diğer Menkul Kıymetler;;
Diğer Sermaye Yedekleri;72467536;
Diğer Ticari Borçlar;;380701
Dönem Karı Peşin Ödenen Vergi ve Diğer Yük. (-);314324;
Dönem Karı Vergi ve Diğer Yasal Yükümlülük Karşılığı;1045253;
DT- Uzun Vadeli Yabancı Kaynaklar Toplamı;11310988;41404969
E5-Dönem Kar/Zarar;;
Elden Çıkarılacak Stoklar ve Maddi Duran Varlıklar;;347492
Ertelenmiş Finansal Kiralama Borçlanma Maliyetleri (-);3718306;
ETT- TOPLAM PASİFLER;1159442149;1703634584
ET-TOPLAM ÖZKAYNAKLAR;75625537;286246953
Finansal Kiralama İşlemlerinden Borçlar;13552572;
Geçmiş Yıllar Karları;;
Geçmiş Yıllar Zararları;135120259;
Haklar;20924613;1644269
İştiraklerden Alacaklar;;32832200
İştiraklere Borçlar;;41404969
Kasa;690160;485947
Olağanüstü Yedekler;;691049
Ortaklardan Alacaklar;;40393404
Ödenecek Diğer Yükümlülükler;5785;
Ödenecek Sosyal Güvenlik Kesintileri;375064;23929039
Ödenecek Vergi ve Fonlar;7609153;23804105
Personel Avansları;77300;
Personelden Alacaklar;;14189000
Personele Borçlar;379614;36308816
Peşin Ödenen Vergi ve Fonlar;3835040;133304
Peşin Ödenen Vergiler ve Fonlar;33525357;89401804
Satıcılar;52712938;124631297
Sermaye;15000000;100000000
Sermaye Düzeltmesi Olumlu Farkları;123161337;179170056
Taşıtlar;;20925246
Tesis, Makina ve Cihazlar;1166799;126552563
Vadesi Geçmiş Ertelenmiş veya Taks. Vergi ve Diğer Yük.;;19056616
Verilen Çek ve Ödeme Emirleri (-);240635661;214733359
Verilen Depozito ve Teminatlar;265551;83497395
Verilen Sipariş Avansları;21882915;
Yasal Yedekler;116923;6385847
Yıllara Yaygın İnşaat Enflasyon Düzeltme Hesabı;29554619;50216011
Yıllara Yaygın İnşaat ve Onarım Hakedişleri;993721508;937037538
Yıllara Yaygın İnşaat ve Onarım Hakedişleri Enf Fark Gelir;;117350596
Yıllara Yaygın İnşaat ve Onarım Maliyetleri;954957308;1022242191
" Genel Üretim Giderleri Hesabı";0;0
" Hizmet Üretim Maliyeti";0;0
Bağlı Ortaklıklardan Temettü Geliri;0;0
C-Net Satışlar;654020;0
Çalışmayan Kısım Gider ve Zararları (-);0;0
Diğer Gelirler;576138;0
Diğer İndirimler (-);0;0
Diğer Olağandışı Gelir ve Karlar;1;0
Diğer Olağandışı Gider ve Zararlar (-);877315;2516293
Diğer Satışların Maliyeti (-);0;0
Direkt İlk Madde ve Malzeme;0;0
Direkt İlk Madde ve Malzeme Yansıtma;0;0
Direkt İşçilik Giderleri;0;0
Direkt İşçilik Giderleri Yansıtma;0;0
E-Brüt Kar/Zararı;654020;0
Faaliyetle İlgili Diğer Olağan Gelirler ve Karlar;0;0
Faaliyetle İlgili Diğer Olağan Gider ve Zararlar (-);7986152;0
Faiz Geliri;20464996;4194936
F-Genel Yönetim Giderleri (-);6764;4790335
Genel Üretim Giderleri Hesabı Yansıtma;0;0
G-Pazarlama Giderleri (-);0;0
H-Araştırma ve Geliştirme Giderleri (-);0;0
Hizmet Üretim Maliyeti Yansıtma;0;0
İştiraklerden Temettü Gelirleri;0;0
J-Esas Faaliyet Karı/Zararı;647256;4790335
Kambiyo Karları;0;76968
Kambiyo Zararları (-);0;0
Karşılık Giderleri (-);0;0
Komisyon Gelirleri;0;0
Komisyon Giderleri (-);0;0
Konusu Kalmayan Karşılıklar;0;0
Menkul Kıymetler Satış Karları;0;0
M-FİNANSMAN GİDERİ ÖNCESİ FAALİYET KARI ZARARI;13126100;518430
N-Finansman Giderleri;8067770;0
O-OLAĞAN KAR VEYA  ZARAR;5058330;518430
Önceki Dönem Gelir ve Karları;0;13308913
Önceki Dönem Gider ve Zararları (-);0;8268904
Reeskont Faiz Gelirleri;0;0
Reeskont Faiz Giderleri (-);0;0
Satılan Hizmet Maliyeti (-);0;0
Satılan Mamuller Maliyeti (-);0;0
Satılan Ticari Mallar Maliyeti (-);0;0
Satış Iskontoları (-);0;0
Satış İadeleri (-);0;0
Yatırım Faaliyetlerinden Giderler;0;0
Yurtdışı Satışlar;0;0
Yurtiçi Satışlar;77881;0
Z1-DÖNEM KARI VERGİ VE DİĞ.YASAL YÜKÜMLÜLÜK KARŞILIĞI;1045253;0
Z-DÖNEM KARI/ZARARI;4181015;2005284
ZT-DÖNEM NET KARI/ZARARI;3135761;2005284
